played_at,context,tack_id
2023-05-17T23:10:14.965Z,,6Ju28M6P8Y8sLjBgWjyUUD
2023-05-17T23:06:37.757Z,,5A7CwBNDUhvLWuSU5oJEh3
2023-05-17T22:57:07.044Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",04CqLjewJiSAqM210vZAmT
2023-05-17T22:54:23.430Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",6zrJLhslleCHby0wbUnvVy
2023-05-17T22:48:29.534Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",5gDWsRxpJ2lZAffh5p7K0w
2023-05-17T22:46:38.192Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",6KIKaWKE9wV6mLjho3w61y
2023-05-17T22:43:53.648Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",7F25roCtYi55JouckaayPC
2023-05-17T22:39:44.647Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",2kYDYNJcZyEADRXwoZgQUk
2023-05-17T22:30:08.542Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",20axrgBlxsVZ5m1otNOvC1
2023-05-17T22:26:26.481Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",4i2qxFEVVUi8yOYoxB8TCX
2023-05-17T22:22:43.026Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",5cYEuFqzITZlZzpoR1sHvu
2023-05-17T22:20:23.717Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",1Xg9k7OAyJryBXVx3KUklz
2023-05-17T22:15:59.710Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",1TWNKyNQOBfNUkWWs7FooF
2023-05-17T22:12:37.960Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",2Oycxb8QbPkpHTo8ZrmG0B
2023-05-17T22:09:47.646Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",27bgMTAq4qTACnE48M3aTH
2023-05-17T22:07:01.055Z,"{'type': 'playlist', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/37i9dQZF1EQncLwOalG3K7'}, 'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1EQncLwOalG3K7', 'uri': 'spotify:playlist:37i9dQZF1EQncLwOalG3K7'}",1cx7kDfiHlvQWwPRNxQrfQ
