danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist_id,category,category_id,creation_date,_rid,_self,_etag,_attachments,_ts,album,artists,available_markets,disc_number,explicit,external_ids,external_urls,href,is_local,name,popularity,preview_url,track_number
0.389,0.925,8,-4.257,1,0.0867,0.00091,0.778,0.193,0.625,164.739,audio_features,4dUFWoTGL8BXPj3chx3RzL,spotify:track:4dUFWoTGL8BXPj3chx3RzL,https://api.spotify.com/v1/tracks/4dUFWoTGL8BXPj3chx3RzL,https://api.spotify.com/v1/audio-analysis/4dUFWoTGL8BXPj3chx3RzL,96678,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2107,ixBOAOMPL4WXAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WXAAAAAAAAAA==/,"""0900a2ce-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.201,0.98,8,-5.236,1,0.152,0.0759,0.895,0.0971,0.343,172.026,audio_features,382JzRLrfUWLJPriEjlG5K,spotify:track:382JzRLrfUWLJPriEjlG5K,https://api.spotify.com/v1/tracks/382JzRLrfUWLJPriEjlG5K,https://api.spotify.com/v1/audio-analysis/382JzRLrfUWLJPriEjlG5K,178625,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2107,ixBOAOMPL4WYAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WYAAAAAAAAAA==/,"""0900a4ce-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.51,0.991,4,-4.883,0,0.0811,0.0901,0.112,0.259,0.301,174.043,audio_features,2ET5DjVBBSHzzCz8IC8DxC,spotify:track:2ET5DjVBBSHzzCz8IC8DxC,https://api.spotify.com/v1/tracks/2ET5DjVBBSHzzCz8IC8DxC,https://api.spotify.com/v1/audio-analysis/2ET5DjVBBSHzzCz8IC8DxC,91034,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2108,ixBOAOMPL4WZAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WZAAAAAAAAAA==/,"""0900a8ce-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.448,0.972,9,-3.761,1,0.0697,3.13e-05,0.912,0.247,0.0353,170.017,audio_features,6ZphuIGThSzhDzljk6BeYj,spotify:track:6ZphuIGThSzhDzljk6BeYj,https://api.spotify.com/v1/tracks/6ZphuIGThSzhDzljk6BeYj,https://api.spotify.com/v1/audio-analysis/6ZphuIGThSzhDzljk6BeYj,155294,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2108,ixBOAOMPL4WaAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WaAAAAAAAAAA==/,"""0900aace-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.159,0.64,10,-12.331,0,0.0469,0.0314,0.864,0.131,0.154,180.958,audio_features,0YmX4BrysvLQ3PHKlfZWqQ,spotify:track:0YmX4BrysvLQ3PHKlfZWqQ,https://api.spotify.com/v1/tracks/0YmX4BrysvLQ3PHKlfZWqQ,https://api.spotify.com/v1/audio-analysis/0YmX4BrysvLQ3PHKlfZWqQ,116480,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2108,ixBOAOMPL4WbAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WbAAAAAAAAAA==/,"""0900abce-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.502,0.912,11,-5.304,0,0.0513,0.00106,0.247,0.0959,0.0796,169.99,audio_features,4MCMFYstWKaRjh0hoEiuHS,spotify:track:4MCMFYstWKaRjh0hoEiuHS,https://api.spotify.com/v1/tracks/4MCMFYstWKaRjh0hoEiuHS,https://api.spotify.com/v1/audio-analysis/4MCMFYstWKaRjh0hoEiuHS,158566,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2108,ixBOAOMPL4WcAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WcAAAAAAAAAA==/,"""0900acce-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.174,0.994,7,-1.777,0,0.309,0.00198,0.874,0.485,0.069,180.047,audio_features,0p4zgfOU12T4zD1vBc3FH2,spotify:track:0p4zgfOU12T4zD1vBc3FH2,https://api.spotify.com/v1/tracks/0p4zgfOU12T4zD1vBc3FH2,https://api.spotify.com/v1/audio-analysis/0p4zgfOU12T4zD1vBc3FH2,201125,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2108,ixBOAOMPL4WdAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WdAAAAAAAAAA==/,"""0900adce-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.274,0.876,8,-6.642,1,0.115,0.0521,0.914,0.266,0.0807,87.444,audio_features,7tgtmpB34R5h7zVIa8zf1L,spotify:track:7tgtmpB34R5h7zVIa8zf1L,https://api.spotify.com/v1/tracks/7tgtmpB34R5h7zVIa8zf1L,https://api.spotify.com/v1/audio-analysis/7tgtmpB34R5h7zVIa8zf1L,264718,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2109,ixBOAOMPL4WeAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WeAAAAAAAAAA==/,"""0900aece-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.491,0.997,8,-2.76,1,0.0999,0.0075,0.914,0.155,0.162,160.035,audio_features,24x9pYsJuTTqSpjyIp8iwo,spotify:track:24x9pYsJuTTqSpjyIp8iwo,https://api.spotify.com/v1/tracks/24x9pYsJuTTqSpjyIp8iwo,https://api.spotify.com/v1/audio-analysis/24x9pYsJuTTqSpjyIp8iwo,152438,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2109,ixBOAOMPL4WfAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WfAAAAAAAAAA==/,"""0900afce-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
0.51,0.902,10,-3.449,0,0.0481,0.516,0.498,0.116,0.0389,89.974,audio_features,2nn5NcXb6ulkbKt0ieMQdr,spotify:track:2nn5NcXb6ulkbKt0ieMQdr,https://api.spotify.com/v1/tracks/2nn5NcXb6ulkbKt0ieMQdr,https://api.spotify.com/v1/audio-analysis/2nn5NcXb6ulkbKt0ieMQdr,128000,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2109,ixBOAOMPL4WgAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WgAAAAAAAAAA==/,"""0900b1ce-0000-0b00-0000-6469061e0000""",attachments/,1684604446,,,,,,,,,,,,,
